"","ForestID","Dist_trail","Dist_edge","Dist_trail_beginning","Dist_trail_std","Dist_edge_std","Dist_trail_beginning_std","TAlphaAll","TAlphaNat","TAlphaNInd","FAlphaAll","FAlphaNat","FAlphaNInd","BetaAllTotalVector","BetaAllRichVector","BetaAllReplVector","BetaFuncAllTotalVector","BetaFuncAllRichVector","BetaFuncAllReplVector","BetaNatTotalVector","BetaNatRichVector","BetaNatReplVector","BetaFuncNatTotalVector","BetaFuncNatRichVector","BetaFuncNatReplVector","BetaNIndTotalVector","BetaNIndRichVector","BetaNIndReplVector","BetaFuncNIndTotalVector","BetaFuncNIndRichVector","BetaFuncNIndReplVector"
"Mist Negros_Control_250","Mistérios_Negros","600","600","1880","3.74734778705222","1.97239980284752","3.56533372521215","13","10","3","5.15750373308318","2.28920866186448","1.04609193810174","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04"
"Sta Barbara_0","Santa_Barbara","0","510","0","0","1.67653983242039","0","12","11","1","4.87747316241427","2.47701962730624","0.517652053195136","0.5","0.214285714285714","0.285714285714286","0.52604923786008","0.102357691815272","0.423691546044807","0.9999","0.9999","1e-04","0.488213009094779","0.127756647118751","0.360456361976028","0.9999","0.9999","1e-04","0.9999","0.9999","1e-04"
"Sta Barbara_50","Santa_Barbara","0","481","50","0","1.58120717528276","0.0948227054577699","11","9","2","4.82649973814749","2.19653589029549","1.03530410639027","0.571428571428571","0.142857142857143","0.428571428571429","0.657288845743619","0.537084461702552","0.120204384041067","0.9999","0.9999","1e-04","0.650060901095289","0.566103493089072","0.0839574080062169","0.9999","0.9999","1e-04","0.9999","0.9999","1e-04"
"Sta Barbara_250","Santa_Barbara","0","436","250","0","1.4332771900692","0.474113527288849","7","6","1","3.43848301356336","1.75046900741791","0.517652053195136","0.545454545454545","0.181818181818182","0.363636363636364","0.526673868273914","0.146471018943529","0.380202849330385","0.9999","0.9999","1e-04","0.539982227602312","0.0973345181598459","0.442647709442466","0.9999","0.9999","1e-04","0.9999","0.9999","1e-04"
"Sta Barbara_Max","Santa_Barbara","0","404","401","0","1.32808253391733","0.760478097771315","14","11","3","5.24871291170179","2.28321392776662","0.852583301654061","0.5625","0.3125","0.25","0.587099674005036","0.207434119882917","0.379665554122119","0.9999","0.9999","1e-04","0.592559389029284","0.124920764287342","0.467638624741942","0.9999","0.9999","1e-04","0.9999","0.9999","1e-04"
"Sta Barbara_Control_50","Santa_Barbara","50","441","401","0.312278982254352","1.44971385509292","0.760478097771315","10","9","1","3.91363196676205","1.96363833219185","0.517652053195136","0.416666666666667","0.0833333333333333","0.333333333333333","0.491451738671586","0.218711457962112","0.272740280709474","0.9999","0.9999","1e-04","0.480290261289247","0.233363667742101","0.246926593547147","0.9999","0.9999","1e-04","0.9999","0.9999","1e-04"
"Sta Barbara_Control_250","Santa_Barbara","300","600","401","1.87367389352611","1.97239980284752","0.760478097771315","9","9","0","3.8393597765069","1.99862119919184","0","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04"
"Malhadas_0","Pico_Vara","0","0","0","0","0","0","10","8","2","3.66252805908815","1.83805118993332","0.822822779698482","0.5","0.0714285714285714","0.428571428571429","0.525087802629893","0.43168161874247","0.0934061838874228","0.666666666666667","1e-04","0.666666666666667","0.555580571932534","0.493818607886313","0.0617619640462204","0.666666666666667","1e-04","0.666666666666667","0.858250311968708","0.761166458687528","0.0970838532811797"
"Malhadas_50","Pico_Vara","0","0","50","0","0","0.0948227054577699","11","9","2","4.66975340182796","2.19653589029549","0.781750164243031","0.533333333333333","1e-04","0.533333333333333","0.640102610740155","0.376839035578029","0.263263575162126","0.666666666666667","1e-04","0.666666666666667","0.695183968015981","0.409461097902935","0.285722870113046","0.666666666666667","1e-04","0.666666666666667","0.83579176645742","0.698524940125548","0.137266826331871"
"Malhadas_250","Pico_Vara","0","0","250","0","0","0.474113527288849","12","11","1","4.32018899385632","2.11585771877216","0.517652053195136","0.466666666666667","0.0666666666666667","0.4","0.4641417023063","0.35717634830086","0.10696535400544","0.9999","0.333333333333333","0.666666666666667","0.456461401914628","0.372157527601612","0.0843038743130159","0.9999","0.333333333333333","0.666666666666667","0.780402516477841","0.243919496704432","0.536483019773409"
"Malhadas_Max","Pico_Vara","0","0","400","0","0","0.758581643662159","11","9","2","4.42419921216568","1.99862119919184","0.822822779698482","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04"
