;V1;cond((Int));disp((Int));cond(Dist_edge_std);cond(Dist_trail_beginning_std);cond(Dist_trail_std);df;logLik;AICc;delta;weight
127;nat.tax.btotal;-0.97292;NA;-0.21321792;NA;NA;4;17.15827;-23.81654;11.1227648;0.001707086
128;nat.tax.btotal;-0.8586126;NA;0.08782712;-0.515163;NA;5;18.36412;-22.72823;12.2110736;0.000990677
129;nat.tax.brich;-2.635806;NA;NA;NA;NA;3;70.91504;-134.4183;0;0.491235829
130;nat.tax.brich;-2.552028;NA;NA;NA;-0.2534353;4;71.44432;-132.3886;2.029676;0.178053944
131;nat.tax.brich;-2.539644;NA;NA;-0.17130142;NA;4;71.12719;-131.7544;2.663952;0.12966426
132;nat.tax.brich;-2.585817;NA;-0.084071047;NA;NA;4;70.95757;-131.4151;3.003191;0.109434771
133;nat.tax.brich;-2.614178;NA;0.136379356;NA;-0.3180323;5;71.5194;-129.0388;5.379521;0.033353537
134;nat.tax.brich;-2.568312;NA;NA;0.0462018;-0.2810311;5;71.45155;-128.9031;5.515221;0.031165564
135;nat.tax.brich;-2.538396;NA;-0.003215773;-0.17008501;NA;5;71.12724;-128.2545;6.16385;0.022533413
136;nat.tax.brich;-2.635013;NA;0.139493735;0.05466941;-0.352081;6;71.52927;-125.0585;9.359782;0.004558682
137;nat.tax.brepl;-1.258657;NA;NA;NA;-0.7198346;4;27.99135;-45.48269;0;0.39759813
138;nat.tax.brepl;-1.557135;NA;0.75907199;NA;-1.0585628;5;29.42285;-44.84569;0.637001;0.28914875
139;nat.tax.brepl;-1.377178;NA;NA;NA;NA;3;25.03631;-42.66086;2.821827;0.09698228
140;nat.tax.brepl;-1.300392;NA;NA;0.1968106;-0.7846702;5;28.05339;-42.10678;3.375914;0.07351465
141;nat.tax.brepl;-1.142486;NA;NA;-0.4147334;NA;4;26.08535;-41.67071;3.811984;0.05911293
142;nat.tax.brepl;-1.633954;NA;0.68777005;0.3533882;-1.1460581;6;29.66143;-41.32286;4.159829;0.04967627
143;nat.tax.brepl;-1.322076;NA;-0.09106878;NA;NA;4;25.08367;-39.66734;5.81535;0.02170986
144;nat.tax.brepl;-1.215047;NA;0.20337914;-0.51855;NA;5;26.26201;-38.52402;6.958668;0.01225713
145;nind.tax.btotal;-0.03587389;NA;0.9071329;NA;-0.9786041;5;81.69504;-149.3901;0;0.27828544
146;nind.tax.btotal;0.14332121;NA;NA;NA;NA;3;78.26076;-149.1098;0.280323;0.24189067
147;nind.tax.btotal;0.38822154;NA;NA;NA;-0.5427668;4;79.61446;-148.7289;0.6611732;0.19994869
148;nind.tax.btotal;-0.05675746;NA;0.3342587;NA;NA;4;78.58752;-146.675;2.7150386;0.07160236
149;nind.tax.btotal;0.30983608;NA;NA;-0.2725253;NA;4;78.53003;-146.5601;2.8300295;0.06760167
150;nind.tax.btotal;-0.24969093;NA;0.9554131;0.586156;-1.4026946;6;82.26071;-146.5214;2.8686595;0.06630847
151;nind.tax.btotal;0.24038718;NA;NA;0.4746082;-0.863282;5;79.98226;-145.9645;3.4255584;0.05019263
152;nind.tax.btotal;0.0974253;NA;0.5312188;-0.4926983;NA;5;79.25151;-144.503;4.8870634;0.02417008
153;nind.tax.brich;-0.69085873;NA;1.4233102;NA;-1.0907001;5;82.8818;-151.7636;0;0.56738257
154;nind.tax.brich;-0.16302759;NA;NA;NA;NA;3;77.94348;-148.4752;3.288395;0.1095999
155;nind.tax.brich;-0.85331739;NA;1.4629237;0.4104846;-1.3972232;6;83.12824;-148.2565;3.50711;0.09824644
156;nind.tax.brich;-0.54587552;NA;0.6870023;NA;NA;4;79.16572;-147.8314;3.932163;0.07943603
