;Sampl;Ind;Obs;S1;S2;Q1;Q2;Jack1ab;Jack1abP;Jack1in;Jack1inP;Jack2ab;Jack2abP;Jack2in;Jack2inP;Chao1;Chao1P;Chao2;Chao2P
Malhadas;3;01/01/1900  4,33,00;0,352777778;3,43,00;1,03,00;0,258333333;0,102083333;11,31,00;13,82655952;11,69333333;18,52322093;13,44,00;16,58931932;13,28833333;21,18405542;10,87866667;13,430851;1,229861111;26,54098948
Malhadas;4;01/01/1900  13,54,00;9,47,00;0,177777778;0,084027778;6,07,00;2,06,00;13,23,00;15,61934832;0,739583333;20,28875698;15,38,00;18,304829;16,19083333;23,57779282;12,92483333;15,44456486;15,63282143;23,22356081
Malhadas;5;01/01/1900  23,23,00;0,467361111;0,189583333;1,52,00;6,04,00;3,25,00;0,629166667;16,88578262;1,015277778;20,98928664;17,07,00;19,7768379;5,732638889;24,09478456;14,26316667;16,54499967;16,42995238;22,65914094
Malhadas;6;56,74;0,505555556;4,14,00;1,33,00;0,267361111;3,45,00;0,681944444;18,04292069;1,052083333;21,09858066;0,79375;21,34616235;1,177083333;23,87452073;16,01283333;18,40755566;16,14034524;20,79395465
Malhadas;7;02/01/1900  17,28,00;12,49,00;4,28,00;1,29,00;0,259722222;3,03,00;0,720138889;18,96423763;17,41,00;21,44084721;0,844444444;22,42955955;19,54571429;24,2126421;17,10866667;19,48273625;16,78159524;20,86444113
Malhadas;8;03/01/1900  2,58,00;13,31,00;4,43,00;1,31,00;0,2625;3,16,00;0,759722222;19,89057969;3,302083333;22,21257655;0,893055556;23,45958834;20,67107143;25,14244335;18,22116667;20,56943393;18,01483333;22,03057521
Malhadas;9;84,65;0,606944444;4,36,00;1,37,00;5,46,00;3,16,00;18,03,00;20,23481839;18,79333333;21,95327707;21,29,00;23,592458;20,88944444;24,50380075;18,28816667;20,3101124;17,93603571;21,12603774
Malhadas;10;94,81;14,44,00;4,39,00;1,35,00;5,35,00;0,143055556;0,807638889;20,69808985;0,96875;22,10435238;0,935416667;24,08578378;21,50122222;24,75335314;1,288194444;20,71123518;18,20495238;20,9687286
Malhadas;11;104;0,649305556;4,54,00;1,46,00;5,45,00;2,56,00;19,49,00;21,41159301;19,90454545;22,70434897;22,57,00;24,84904907;22,47854545;25,68958744;19,74033333;21,81315624;2,746527778;22,05300925
Malhadas;12;04/01/1900  17,05,00;15,44,00;0,215972222;1,56,00;0,252083333;2,34,00;20,15,00;22,15247506;20,60083333;23,48958233;23,03,00;25,67073773;23,51977273;26,86736453;20,34616667;22,4766638;20,46266667;23,41182554
Malhadas;13;05/01/1900  4,14,00;15,09,00;0,227777778;0,084027778;0,263194444;2,11,00;0,8875;22,84737072;21,24461538;24,21444635;01/01/1900  0,05,00;26,48899651;24,50724359;27,98601039;0,882638889;22,83836917;21,79083333;24,96053208
Malhadas;14;134,76;16,04,00;5,01,00;0,088888889;6,05,00;2;21,05,00;23,68082536;22,01785714;25,14974786;24,92;27,48991767;25,62115385;29,31465822;21,42716667;23,67056206;22,95883333;26,34968613
