"","V1","cond((Int))","disp((Int))","cond(Dist_edge_std)","cond(Dist_trail_beginning_std)","cond(Dist_trail_std)","df","logLik","AICc","delta","weight"
"199","nind.tax.brepl",-1.618556,NA,NA,-0.3102583,0.01686354,5,35.44659,-53.39318,8.452924,0.0080609097
"200","nind.tax.brepl",-1.309245,NA,-0.5352842,-0.2785931,0.13403208,6,36.29188,-48.58376,13.262345,0.0007278324
"201","end.tax.btotal",-0.9297699,NA,NA,NA,-0.7511836,4,14.83006,-17.215669,0,0.508397604
"202","end.tax.btotal",-1.3080452,NA,0.6035267,NA,-1.0736584,5,16.14744,-14.794886,2.420783,0.151543424
"203","end.tax.btotal",-0.8857667,NA,NA,-0.7936655,NA,4,13.53663,-14.628814,2.586855,0.139468131
"204","end.tax.btotal",-1.2993113,NA,NA,NA,NA,3,11.35262,-14.305234,2.910436,0.118634325
"205","end.tax.btotal",-0.8737461,NA,NA,-0.2136438,-0.6711691,5,14.88305,-12.266096,4.949574,0.042797388
"206","end.tax.btotal",-1.1705448,NA,-0.1618404,NA,NA,4,11.4666,-10.48875,6.726919,0.017598335
"207","end.tax.btotal",-1.019373,NA,0.2615466,-0.9456173,NA,5,13.81651,-10.13302,7.08265,0.014730775
"208","end.tax.btotal",-1.1884861,NA,0.6057241,-0.3857508,-0.9711557,6,16.2979,-8.595797,8.619873,0.006830018
"209","end.tax.brich",-1.894618,NA,NA,NA,-0.9264064,4,23.60207,-34.7597,0,0.542593663
"210","end.tax.brich",-2.320528,NA,0.82565833,NA,-1.209526,5,24.87154,-32.24307,2.516629,0.154168527
"211","end.tax.brich",-2.00959,NA,NA,NA,NA,3,20.14921,-31.89842,2.861276,0.12976471
"212","end.tax.brich",-2.118976,NA,NA,0.7244638,-1.4161325,5,24.42773,-31.35545,3.404249,0.098912583
"213","end.tax.brich",-1.820914,NA,NA,-0.4535277,NA,4,21.04684,-29.64924,5.110457,0.042145687
"214","end.tax.brich",-2.020969,NA,0.01409755,NA,NA,4,20.15026,-27.85608,6.903617,0.017193855
"215","end.tax.brich",-2.474493,NA,0.78877797,0.5636621,-1.5959244,6,25.3937,-26.7874,7.972295,0.010076574
"216","end.tax.brich",-1.990016,NA,0.34062486,-0.5589418,NA,5,21.4714,-25.4428,9.316903,0.005144402
"217","end.tax.brepl",-2.061311,NA,NA,NA,NA,3,32.47212,-56.54425,0,0.6165250008
"218","end.tax.brepl",-1.848918,NA,NA,-0.396001,NA,4,33.03514,-53.62584,2.918409,0.1432934086
"219","end.tax.brepl",-1.93798,NA,NA,NA,-0.23708939,4,32.85893,-53.27341,3.270838,0.1201426465
"220","end.tax.brepl",-2.062172,NA,0.00106884,NA,NA,4,32.47213,-52.49981,4.044435,0.0816042514
"221","end.tax.brepl",-2.000159,NA,0.29022862,-0.5690197,NA,5,33.29464,-49.08929,7.454961,0.0148295001
"222","end.tax.brepl",-2.094532,NA,0.25532407,NA,-0.34184822,5,33.04564,-48.59128,7.952966,0.0115607516
"223","end.tax.brepl",-1.850081,NA,NA,-0.3724013,-0.02322161,5,33.03644,-48.57287,7.971372,0.0114548462
"224","end.tax.brepl",-2.017895,NA,0.31245083,-0.4775403,-0.10285954,6,33.3197,-42.63941,13.904837,0.0005895949
"225","all.func.btotal",-0.4474962,NA,NA,NA,-0.8568964,4,11.973614,-11.502783,0,0.562834404
"226","all.func.btotal",-0.8318866,NA,0.6456412,NA,-1.2055252,5,13.332706,-9.165412,2.337371,0.174914954
"227","all.func.btotal",-0.4682978,NA,NA,-0.79115766,NA,4,10.254297,-8.064149,3.438634,0.100853445
"228","all.func.btotal",-0.9094847,NA,NA,NA,NA,3,8.074112,-7.748223,3.75456,0.086116876
"229","all.func.btotal",-0.4355355,NA,NA,-0.04965677,-0.8364368,5,11.976249,-6.452498,5.050285,0.045053143
"230","all.func.btotal",-0.7585924,NA,-0.1878139,NA,NA,4,8.205832,-3.967219,7.535565,0.0130033
"231","all.func.btotal",-0.5994743,NA,0.2545557,-0.92090092,NA,5,10.479012,-3.458025,8.044758,0.010080534
"232","all.func.btotal",-0.7593219,NA,0.6513489,-0.235543,-1.1430841,6,13.384587,-2.769174,8.733609,0.007143343
"233","all.func.brich",-1.299991,NA,NA,NA,-0.6641106,4,17.93072,-23.41699,0,0.467302856
"234","all.func.brich",-1.609002,NA,NA,NA,NA,3,15.01306,-21.62612,1.790879,0.190859632
"235","all.func.brich",-1.245466,NA,NA,-0.7145134,NA,4,16.89047,-21.3365,2.080491,0.165129844
"236","all.func.brich",-1.602673,NA,0.4818075,NA,-0.8955271,5,18.81749,-20.13498,3.282011,0.090556314
"237","all.func.brich",-1.252897,NA,NA,-0.1793526,-0.5915597,5,17.9717,-18.44341,4.973586,0.03886852
"238","all.func.brich",-1.492774,NA,-0.14709,NA,NA,4,15.11478,-17.78512,5.631877,0.027967383
"239","all.func.brich",-1.350723,NA,0.1973941,-0.8106879,NA,5,17.06168,-16.62337,6.793629,0.015645186
"240","all.func.brich",-1.541396,NA,0.4733426,-0.1869467,-0.8213416,6,18.86178,-13.72357,9.693428,0.003670264
"241","all.func.brepl",-1.403697,NA,NA,NA,-0.9395737,4,18.64252,-24.8406,0,0.632989746
"242","all.func.brepl",-1.711166,NA,0.5836088,NA,-1.136206,5,19.56471,-21.62942,3.211183,0.127085832
"243","all.func.brepl",-1.662306,NA,NA,NA,NA,3,14.63682,-20.87365,3.966956,0.087092963
"244","all.func.brepl",-1.319953,NA,NA,-0.66371848,NA,4,16.52729,-20.61014,4.230459,0.076342107
